sku,title,sdesc,desc,quantity,cost-price,price,image,sostav,Strana,Proizvoditel,Kornevai
T-1,"Одеяло тенсел 145х205 см, Т-1 ","T-1 Одеяло Тенсел, чехол тенсел (145х205)","<p>Воздушные, пышные, но лёгкие одеяла из тенсела отличаются особой мягкостью, упругостью и прочностью, соединяют в себе тонкость и гладкость шелка, нежность и комфорт хлопка. Они отлично впитывают и быстро испаряют влагу; великолепно пропускают воздух - ""дышат"" и сохраняют тепло. Исключительное свойство одеял из Тенсела – способность создавать натуральную защиту от бактерий, что подходит для людей с чувствительной кожей.</p>

<p>Чехол - жаккардовый люкс-сатин (100% тенсел), наполнитель - 50% тенсел, 50%-искусственный шелк.</p>

<p>Вес наполнителя - 620 гр</p>

<p>Размер 145х205 см</p>

<p>Цвет - молочный</p>",10,4873.0,7799.0,http://asabella-life.ru/image/cache/data/T1-5-1000x750.jpg,100% тенсел,Италия,Asabella,Asabella
T-3,"Одеяло тенсел 200х220 см, Т-3","T-3 Одеяло Тенсел, чехол тенсел (200х220)","<p>Воздушные, пышные, но лёгкие одеяла из тенсела отличаются особой мягкостью, упругостью и прочностью, соединяют в себе тонкость и гладкость шелка, нежность и комфорт хлопка. Они отлично впитывают и быстро испаряют влагу; великолепно пропускают воздух - ""дышат"" и сохраняют тепло. Исключительное свойство одеял из Тенсела – способность создавать натуральную защиту от бактерий, что подходит для людей с чувствительной кожей.</p>

<p>Чехол - жаккардовый люкс-сатин (100% тенсел), наполнитель - 50% тесел, 50% искусственный шелк.</p>

<p>Вес наполнителя - 920 гр</p>

<p>Размер 200х220 см</p>

<p>Цвет - молочный</p>",10,5929.0,9482.0,http://asabella-life.ru/image/cache/data/T1-5-1000x750.jpg,100% тенсел,Италия,Asabella,Asabella
T-7,"Одеяло тенсел 160х220 см, Т-7","T-7 Одеяло Тенсел, чехол тенсел (160х220)","<p>Воздушные, пышные, но лёгкие одеяла из тенсела отличаются особой мягкостью, упругостью и прочностью, соединяют в себе тонкость и гладкость шелка, нежность и комфорт хлопка. Они отлично впитывают и быстро испаряют влагу; великолепно пропускают воздух - ""дышат"" и сохраняют тепло. Исключительное свойство одеял из Тенсела – способность создавать натуральную защиту от бактерий, что подходит для людей с чувствительной кожей.</p>

<p>Чехол - жаккардовый люкс-сатин (100% тенсел), наполнитель - 50% тенсел, 50% искусственный шелк.</p>

<p>Вес наполнителя - 730 гр</p>

<p>Размер 160х220 см</p>

<p>Цвет - молочный</p>",10,5302.0,8481.0,http://asabella-life.ru/image/cache/data/T1-5-1000x750.jpg,100% тенсел,Италия,Asabella,Asabella
311-2B,"Покрывало жаккардовое, 311-2В","Комплект с покрывалом 3 предмета, 311-2B 
240х260 см, 2 наволочки 50х70 см","<p>Это роскошное покрывало способно очаровать с первого взгляда: золотистые виноградные листья перенесут частичку солнечной Италии к Вам в спальню. Элегантная, безукоризненно выполненная вышивка подчеркивает классический стиль дизайна, превращая любую обстановку в королевскую спальню.</p>

<p>Верх покрывала выполнен из жаккардового люкс-сатина (45% хлопок и 55% вискоза), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 240х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,7348.0,11759.0,http://asabella-life.ru/image/cache/data/311-1B-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg,"45% хлопок, 55% вискоза",Италия,Asabella,Asabella
311-2BL,"Покрывало жаккардовое, 311-2ВL","Комплект с покрывалом 3 предмета, 311-2BL 270х270 см, 2 наволочки 50х70 см","<p>Это роскошное покрывало способно очаровать с первого взгляда: золотистые виноградные листья перенесут частичку солнечной Италии к Вам в спальню. Элегантная, безукоризненно выполненная вышивка подчеркивает классический стиль дизайна, превращая любую обстановку в королевскую спальню.</p>

<p>Верх покрывала выполнен из жаккардового люкс-сатина (45% хлопок и 55% вискоза), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 270х270 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,7766.0,12430.0,http://asabella-life.ru/image/cache/data/311-1B-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg,"45% хлопок, 55% вискоза",Италия,Asabella,Asabella
591-2B,"Покрывало жаккардовое, 591-2В","Комплект с покрывалом 3 предмета, 591-2В
240х260 см, 2 наволочки 50х50 см","<p>Тонкие завитки причудливо переплетаются между собой, образуя сплошной ажурный узор.  Волокна сотканы таким образом, что возникает ощущение, будто рисунок подсвечен изнутри. Это покрывало можно назвать хамелеоном за уникальную способность менять цвет в зависимости от освещения: оно может быть и серебристо-серым и жемчужно-бежевым. Вышивка по канту делает это покрывало еще более богатым.</p>

<p>Верх покрывала выполнен из жаккардового люкс-сатина (45% хлопок и 55% вискоза), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 240х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,7348.0,11759.0,http://asabella-life.ru/image/cache/data/591B_1-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg,"45% хлопок, 55% вискоза",Италия,Asabella,Asabella
682-2B,"Покрывало жаккардовое, 682-2В","Комплект с покрывалом 3 предмета, 682-2В
240х260 см, 2 наволочки 50х70 см","<p>Светлые дизайны нежных пудровых оттенков всегда производят благоприятное впечатление и настраивают на исключительно лирический лад. Покрывало в чисто итальянском стиле: неброский жаккардовый рисунок и широкое элегантное, очень роскошное кружево.</p>

<p>Верх покрывала выполнен из жаккардового люкс-сатина (45% хлопок и 55% вискоза), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 240х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,7348.0,11759.0,http://asabella-life.ru/image/cache/data/682-1B_2-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/682-1B (1)_2-1000x750.jpg http://asabella-life.ru/image/cache/data/682-1B (2)_2-1000x750.jpg,"45% хлопок, 55% вискоза",Италия,Asabella,Asabella
682C-2B,"Покрывало стёганое, люкс-сатин 682C-2В","<html>Комплект с покрывалом 3 предмета, 682C-2B
240х260 см, 2 наволочки 50х70 см<i> </i></html>","<p>Шикарное дизайнерское покрывало нежного пудрового цвета! Стянутая резиночками изнутри ткань собирается в ""цветочки"" с сердцевиной из страз. За счет этого покрывало приобретает поистине королевский вид!</p>

<p>Верх покрывала выполнен из люкс-сатина (100% хлопок), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 240х260 см, сатиновое стеганое</p>

<p>наволочки 50х70 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,7348.0,11759.0,http://asabella-life.ru/image/cache/data/04.2017/682C-2B-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/04.2017/682C-2B--1-1000x750.jpg,Люкс-сатин (100% хлопок),Италия,Asabella,Asabella
36B-4H,"Покрывало жаккардовое, 36В-4H","Комплект с покрывалом 5 предметов, 36B-4H
240х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Роскошное покрывало с классическим итальянским рисунком бежевого цвета на теплом золотистом фоне.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 240х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, клапан</p>

<p>подушки 40х40 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,8052.0,12881.0,http://asabella-life.ru/image/cache/data/2016/36B_36S_37S_-1000x750.jpg http://asabella-life.ru/image/cache/data/2016/36B_36S_37S_3-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
36BX-4H,"Покрывало жаккардовое, 36ВX-4H","Комплект с покрывалом 5 предметов, 36BX-4H
260х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Роскошное покрывало с классическим итальянским рисунком бежевого цвета на теплом золотистом фоне.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 260х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, клапан</p>

<p>подушки 40х40 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,8470.0,13552.0,http://asabella-life.ru/image/cache/data/2016/36B_36S_37S_-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/2016/36B_36S_37S_3-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
38B-4H,"Покрывало жаккардовое, 38В-4H","Комплект с покрывалом 5 предметов, 38B-4H
240х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Шикарное покрывало с классическим итальянским рисунком мятного цвета на теплом серебристом фоне.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 240х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, клапан</p>

<p>подушки 40х40 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,8052.0,12881.0,http://asabella-life.ru/image/cache/data/2016/38B_38S_39S-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/2016/38B_38S_39S_3-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
38BX-4H,"Покрывало жаккардовое, 38ВX-4H","Комплект с покрывалом 5 предметов, 38BX-4H
260х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Шикарное покрывало с классическим итальянским рисунком мятного цвета на теплом серебристом фоне.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 260х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, клапан</p>

<p>подушки 40х40 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",6,8470.0,13552.0,http://asabella-life.ru/image/cache/data/2016/38B_38S_39S-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/2016/38B_38S_39S_3-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
40B-4H,"Покрывало жаккардовое, 40В-4H","Комплект с покрывалом 5 предметов, 40B-4H 240х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Богатое покрывало с классическим итальянским рисунком цвета капучино.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 240х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, клапан</p>

<p>подушки 40х40 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,8052.0,12881.0,http://asabella-life.ru/image/cache/data/2016/40B_40S_41S-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/2016/40B_40S_41S_1-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
40BX-4H,"Покрывало жаккардовое, 40ВX-4H","Комплект с покрывалом 5 предметов, 40BX-4H
260х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Богатое покрывало с классическим итальянским рисунком цвета капучино.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 260х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, клапан</p>

<p>подушки 40х40 см - 2 шт, на молнии</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,8470.0,13552.0,http://asabella-life.ru/image/cache/data/2016/40B_40S_41S-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/2016/40B_40S_41S_1-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
48B-4H,"Покрывало жаккардовое, 48В-4H","Комплект с покрывалом 5 предметов, 48B-4H
240х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Классический итальянский рисунок привнесет роскошь в Ваш интерьер!</p>

<p>Шторы того же дизайна украсят окно и дополнят образ комнаты.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 240х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, на молнии</p>

<p>декоративные подушки 40х40 см - 2 шт</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,8052.0,12881.0,http://asabella-life.ru/image/cache/data/09.2017/48B-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/09.2017/48B_1-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
48BX-4H,"Покрывало жаккардовое, 48ВX-4H","Комплект с покрывалом 5 предметов, 48BX-4H
260х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Классический итальянский рисунок привнесет роскошь в Ваш интерьер!</p>

<p>Шторы того же дизайна украсят окно и дополнят образ комнаты.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 260х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, на молнии</p>

<p>декоративные подушки 40х40 см - 2 шт</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,8470.0,13552.0,http://asabella-life.ru/image/cache/data/09.2017/48B-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/09.2017/48B_1-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
49B-4H,"Покрывало жаккардовое, 49В-4H","Комплект с покрывалом 5 предметов, 49B-4H
240х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Классический итальянский рисунок привнесет роскошь в Ваш интерьер!</p>

<p>Шторы того же дизайна украсят окно и дополнят образ комнаты.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 240х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, на молнии</p>

<p>декоративные подушки 40х40 см - 2 шт</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,8052.0,12881.0,http://asabella-life.ru/image/cache/data/09.2017/49B-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/09.2017/49B_1-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
49BX-4H,"Покрывало жаккардовое, 49ВX-4H","Комплект с покрывалом 5 предметов, 49BX-4H
260х260 см, 2 наволочки 50*70 и 2 декоративные подушки","<p>Классический итальянский рисунок привнесет роскошь в Ваш интерьер!</p>

<p>Шторы того же дизайна украсят окно и дополнят образ комнаты.</p>

<p>Верх покрывала выполнен из смесовой ткани (55% хлопок и 45% полиэстер), оборотная сторона из поликоттона, наполнитель - тонкий слой синтепона.</p>

<p>В комплекте:</p>

<p>покрывало 260х260 см, жаккардовое стеганое</p>

<p>наволочки 50х70 см - 2 шт, на молнии</p>

<p>декоративные подушки 40х40 см - 2 шт</p>

<p>Уход: бережная стирка при 30<sup>о</sup>С, не использовать хлорсодержащие отбеливатели.</p>",10,8470.0,13552.0,http://asabella-life.ru/image/cache/data/09.2017/49B-1000x750.jpg http://asabella-life.ru/image/cache/data/ покрывала-1000x750.jpg http://asabella-life.ru/image/cache/data/09.2017/49B_1-1000x750.jpg,"55% хлопок, 45% полиэстер",Италия,Asabella,Asabella
